09/20/2018 18:19:50+457335us LOEC <LO> LOEC_bind_handler > (function_code = 0x4c4fff03)
09/20/2018 18:19:50+457398us LOEC <LO> LOECAP_start_lot >>(lot_id=1093)
09/20/2018 18:19:50+465063us LOEC <LO> LODM_get_lot_data > ()
09/20/2018 18:19:50+466498us LOEC <LO> LODM_get_lot_data < () = OK
09/20/2018 18:19:50+466596us LOEC <LO> LODM_get_lot_align_data > ()
09/20/2018 18:19:50+469027us LOEC <LO> LODM_get_lot_align_data < () = OK
09/20/2018 18:19:50+469106us LOEC <LO> LODM_get_lot_level_data > ()
09/20/2018 18:19:50+469906us LOEC <LO> LODM_get_lot_level_data < () = OK
09/20/2018 18:19:50+469962us LOEC <LO> LODM_get_lot_seal_data > ()
09/20/2018 18:19:50+695563us LOEC <LO> LODM_get_lot_seal_data < () = OK
09/20/2018 18:19:50+695641us LOEC <LO> LOECAP_start_lot (cell_id = 4, segment_nr = 8, total_length = 0.000000,scan_length = 0.006000, scan_times = 70, start_pos (0.659622, 0.380754),b_selected=1),translation = (0.000000, 0.000000), rotation = 0.000000, ortho = 0.000000, magnification_x = 0.999500, magnification_y = 0.999500
09/20/2018 18:19:50+695713us LOEC <LO> LOECAP_start_lot (cell_id = 5, segment_nr = 8, total_length = 0.000000,scan_length = 0.006000, scan_times = 70, start_pos (0.586562, 0.380789),b_selected=1),translation = (0.000000, 0.000000), rotation = 0.000000, ortho = 0.000000, magnification_x = 1.000000, magnification_y = 1.000000
09/20/2018 18:19:50+695772us LOEC <LO> LOECAP_start_lot (cell_id = 6, segment_nr = 8, total_length = 0.000000,scan_length = 0.006000, scan_times = 70, start_pos (0.513502, 0.380823),b_selected=1),translation = (0.000000, 0.000000), rotation = 0.000000, ortho = 0.000000, magnification_x = 1.000500, magnification_y = 1.000500
09/20/2018 18:19:50+695830us LOEC <LO> LOECAP_start_lot (cell_id = 7, segment_nr = 8, total_length = 0.000000,scan_length = 0.006000, scan_times = 70, start_pos (0.440442, 0.380754),b_selected=1),translation = (0.000000, 0.000000), rotation = 0.000000, ortho = 0.000000, magnification_x = 0.999500, magnification_y = 0.999500
09/20/2018 18:19:50+695886us LOEC <LO> LOECAP_start_lot (cell_id = 8, segment_nr = 8, total_length = 0.000000,scan_length = 0.006000, scan_times = 70, start_pos (0.367382, 0.380789),b_selected=1),translation = (0.000000, 0.000000), rotation = 0.000000, ortho = 0.000000, magnification_x = 1.000000, magnification_y = 1.000000
09/20/2018 18:19:50+695941us LOEC <LO> LOECAP_start_lot (cell_id = 9, segment_nr = 8, total_length = 0.000000,scan_length = 0.006000, scan_times = 70, start_pos (0.294322, 0.380823),b_selected=1),translation = (0.000000, 0.000000), rotation = 0.000000, ortho = 0.000000, magnification_x = 1.000500, magnification_y = 1.000500
09/20/2018 18:19:50+695997us LOEC <LO> LOECAP_start_lot (cell_id = 10, segment_nr = 8, total_length = 0.000000,scan_length = 0.006000, scan_times = 70, start_pos (0.221262, 0.380754),b_selected=1),translation = (0.000000, 0.000000), rotation = 0.000000, ortho = 0.000000, magnification_x = 0.999500, magnification_y = 0.999500
09/20/2018 18:19:50+696052us LOEC <LO> LOECAP_start_lot (cell_id = 11, segment_nr = 8, total_length = 0.000000,scan_length = 0.006000, scan_times = 70, start_pos (0.148202, 0.380789),b_selected=1),translation = (0.000000, 0.000000), rotation = 0.000000, ortho = 0.000000, magnification_x = 1.000000, magnification_y = 1.000000
09/20/2018 18:19:50+696106us LOEC <LO> LOECAP_start_lot (cell_id = 12, segment_nr = 8, total_length = 0.000000,scan_length = 0.006000, scan_times = 70, start_pos (0.075142, 0.380823),b_selected=1),translation = (0.000000, 0.000000), rotation = 0.000000, ortho = 0.000000, magnification_x = 1.000500, magnification_y = 1.000500
09/20/2018 18:19:50+696158us LOEC <LO> LOECAP_start_lot (cell_id = 13, segment_nr = 8, total_length = 0.000000,scan_length = 0.006000, scan_times = 70, start_pos (-0.076398, 0.380754),b_selected=1),translation = (0.000000, 0.000000), rotation = 0.000000, ortho = 0.000000, magnification_x = 0.999500, magnification_y = 0.999500
09/20/2018 18:19:50+696211us LOEC <LO> LOECAP_start_lot (cell_id = 14, segment_nr = 8, total_length = 0.000000,scan_length = 0.006000, scan_times = 70, start_pos (-0.149458, 0.380789),b_selected=1),translation = (0.000000, 0.000000), rotation = 0.000000, ortho = 0.000000, magnification_x = 1.000000, magnification_y = 1.000000
09/20/2018 18:19:50+696263us LOEC <LO> LOECAP_start_lot (cell_id = 15, segment_nr = 8, total_length = 0.000000,scan_length = 0.006000, scan_times = 70, start_pos (-0.222518, 0.380823),b_selected=1),translation = (0.000000, 0.000000), rotation = 0.000000, ortho = 0.000000, magnification_x = 1.000500, magnification_y = 1.000500
09/20/2018 18:19:50+696315us LOEC <LO> LOECAP_start_lot (cell_id = 16, segment_nr = 8, total_length = 0.000000,scan_length = 0.006000, scan_times = 70, start_pos (-0.295578, 0.380754),b_selected=1),translation = (0.000000, 0.000000), rotation = 0.000000, ortho = 0.000000, magnification_x = 0.999500, magnification_y = 0.999500
09/20/2018 18:19:50+696367us LOEC <LO> LOECAP_start_lot (cell_id = 17, segment_nr = 8, total_length = 0.000000,scan_length = 0.006000, scan_times = 70, start_pos (-0.368638, 0.380789),b_selected=1),translation = (0.000000, 0.000000), rotation = 0.000000, ortho = 0.000000, magnification_x = 1.000000, magnification_y = 1.000000
09/20/2018 18:19:50+696416us LOEC <LO> LOECAP_start_lot (cell_id = 18, segment_nr = 8, total_length = 0.000000,scan_length = 0.006000, scan_times = 70, start_pos (-0.441698, 0.380823),b_selected=1),translation = (0.000000, 0.000000), rotation = 0.000000, ortho = 0.000000, magnification_x = 1.000500, magnification_y = 1.000500
09/20/2018 18:19:50+696462us LOEC <LO> LOECAP_start_lot (cell_id = 19, segment_nr = 8, total_length = 0.000000,scan_length = 0.006000, scan_times = 70, start_pos (-0.514758, 0.380754),b_selected=1),translation = (0.000000, 0.000000), rotation = 0.000000, ortho = 0.000000, magnification_x = 0.999500, magnification_y = 0.999500
09/20/2018 18:19:50+696509us LOEC <LO> LOECAP_start_lot (cell_id = 20, segment_nr = 8, total_length = 0.000000,scan_length = 0.006000, scan_times = 70, start_pos (-0.587818, 0.380789),b_selected=1),translation = (0.000000, 0.000000), rotation = 0.000000, ortho = 0.000000, magnification_x = 1.000000, magnification_y = 1.000000
09/20/2018 18:19:50+696570us LOEC <LO> LOECAP_start_lot (cell_id = 21, segment_nr = 8, total_length = 0.000000,scan_length = 0.006000, scan_times = 70, start_pos (-0.660878, 0.380823),b_selected=1),translation = (0.000000, 0.000000), rotation = 0.000000, ortho = 0.000000, magnification_x = 1.000500, magnification_y = 1.000500
09/20/2018 18:19:50+696608us LOEC <LO> LOECAP_start_lot (align data[num_marks=1,transfer(x=0.000000,y=0.000000),rot=0.000000,ortho=0.000000,magx=0.000000,magy=0.000000,mark_template=(null), match_rate=0.800000])
09/20/2018 18:19:50+696648us LOEC <LO> LOECAP_start_lot <(cell_index = 0, seg_id = 0, seg_type = 1, start_pos = (0.626078, 0.242073),end_pos = (0.694464, 0.242073), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+696683us LOEC <LO> LOECAP_start_lot <(cell_index = 0, seg_id = 1, seg_type = 2, start_pos = (0.694464, 0.242073),end_pos = (0.695013, 0.242623), arc_center_pos = (0.694481, 0.242588), arc_angle = 1.570796,radius = 0.000550, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+696716us LOEC <LO> LOECAP_start_lot <(cell_index = 0, seg_id = 2, seg_type = 1, start_pos = (0.695013, 0.242623),end_pos = (0.695013, 0.380374), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+696749us LOEC <LO> LOECAP_start_lot <(cell_index = 0, seg_id = 3, seg_type = 2, start_pos = (0.695013, 0.380374),end_pos = (0.694563, 0.380824), arc_center_pos = (0.694581, 0.380408), arc_angle = 1.570796,radius = 0.000450, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+696782us LOEC <LO> LOECAP_start_lot <(cell_index = 0, seg_id = 4, seg_type = 1, start_pos = (0.694563, 0.380824),end_pos = (0.625978, 0.380824), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+696817us LOEC <LO> LOECAP_start_lot <(cell_index = 0, seg_id = 5, seg_type = 2, start_pos = (0.625978, 0.380824),end_pos = (0.625528, 0.380374), arc_center_pos = (0.625961, 0.380408), arc_angle = 1.570796,radius = 0.000450, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+696851us LOEC <LO> LOECAP_start_lot <(cell_index = 0, seg_id = 6, seg_type = 1, start_pos = (0.625528, 0.380374),end_pos = (0.625528, 0.242623), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+696885us LOEC <LO> LOECAP_start_lot <(cell_index = 0, seg_id = 7, seg_type = 2, start_pos = (0.625528, 0.242623),end_pos = (0.626078, 0.242073), arc_center_pos = (0.626061, 0.242588), arc_angle = 1.570796,radius = 0.000550, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+696918us LOEC <LO> LOECAP_start_lot <(cell_index = 1, seg_id = 0, seg_type = 1, start_pos = (0.553001, 0.242038),end_pos = (0.621421, 0.242038), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+696950us LOEC <LO> LOECAP_start_lot <(cell_index = 1, seg_id = 1, seg_type = 2, start_pos = (0.621421, 0.242038),end_pos = (0.621971, 0.242588), arc_center_pos = (0.621421, 0.242588), arc_angle = 1.570796,radius = 0.000550, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+696984us LOEC <LO> LOECAP_start_lot <(cell_index = 1, seg_id = 2, seg_type = 1, start_pos = (0.621971, 0.242588),end_pos = (0.621971, 0.380408), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+697016us LOEC <LO> LOECAP_start_lot <(cell_index = 1, seg_id = 3, seg_type = 2, start_pos = (0.621971, 0.380408),end_pos = (0.621521, 0.380858), arc_center_pos = (0.621521, 0.380408), arc_angle = 1.570796,radius = 0.000450, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+697049us LOEC <LO> LOECAP_start_lot <(cell_index = 1, seg_id = 4, seg_type = 1, start_pos = (0.621521, 0.380858),end_pos = (0.552901, 0.380858), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+697081us LOEC <LO> LOECAP_start_lot <(cell_index = 1, seg_id = 5, seg_type = 2, start_pos = (0.552901, 0.380858),end_pos = (0.552451, 0.380408), arc_center_pos = (0.552901, 0.380408), arc_angle = 1.570796,radius = 0.000450, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+697115us LOEC <LO> LOECAP_start_lot <(cell_index = 1, seg_id = 6, seg_type = 1, start_pos = (0.552451, 0.380408),end_pos = (0.552451, 0.242588), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+697147us LOEC <LO> LOECAP_start_lot <(cell_index = 1, seg_id = 7, seg_type = 2, start_pos = (0.552451, 0.242588),end_pos = (0.553001, 0.242038), arc_center_pos = (0.553001, 0.242588), arc_angle = 1.570796,radius = 0.000550, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+697180us LOEC <LO> LOECAP_start_lot <(cell_index = 2, seg_id = 0, seg_type = 1, start_pos = (0.479924, 0.242004),end_pos = (0.548378, 0.242004), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+697213us LOEC <LO> LOECAP_start_lot <(cell_index = 2, seg_id = 1, seg_type = 2, start_pos = (0.548378, 0.242004),end_pos = (0.548928, 0.242554), arc_center_pos = (0.548361, 0.242588), arc_angle = 1.570796,radius = 0.000550, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+697245us LOEC <LO> LOECAP_start_lot <(cell_index = 2, seg_id = 2, seg_type = 1, start_pos = (0.548928, 0.242554),end_pos = (0.548928, 0.380443), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+697278us LOEC <LO> LOECAP_start_lot <(cell_index = 2, seg_id = 3, seg_type = 2, start_pos = (0.548928, 0.380443),end_pos = (0.548478, 0.380893), arc_center_pos = (0.548461, 0.380408), arc_angle = 1.570796,radius = 0.000450, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+697311us LOEC <LO> LOECAP_start_lot <(cell_index = 2, seg_id = 4, seg_type = 1, start_pos = (0.548478, 0.380893),end_pos = (0.479823, 0.380893), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
09/20/2018 18:19:50+697343us LOEC <LO> LOECAP_start_lot <(cell_index = 2, seg_id = 5, seg_type = 2, start_pos = (0.479823, 0.380893),end_pos = (0.479373, 0.380443), arc_center_pos = (0.479841, 0.380408), arc_angle = 1.570796,radius = 0.000450, seal_power = 40.000000, seal_velocity = 3.000000
09/20/2018 18:19:50+697376us LOEC <LO> LOECAP_start_lot <(cell_index = 2, seg_id = 6, seg_type = 1, start_pos = (0.479373, 0.380443),end_pos = (0.479373, 0.242554), arc_center_pos = (0.000000, 0.000000), arc_angle = 0.000000,radius = 0.000000, seal_power = 20.000000, seal_velocity = 2.500000
